nome_matrice,righe,colonne,esecuzione_completata_1,tempo_di_esecuzione_1,n_iter_1,massima_occupazione_memoria_1,numero_mhs_trovati,cardinalita_minima,cardinalita_massima,tempo_pre,nuovo_numero_righe,nuovo_numero_colonne,esecuzione_completata_2,tempo_di_esecuzione_2,n_iter_2,massima_occupazione_memoria_2,numero_mhs_trovati_2,cardinalita_minima_2,cardinalita_massima_2,risultati_uguali
c880.001,6,383,1,0.28125,71218,72.39453125,368,1,4,0.015625,6,70,1,0.28125,19629,75.38671875,368,1,4,1
c880.002,3,383,1,0.21875,4889,70.66796875,75,1,2,0.0,3,22,1,0.1875,285,69.85546875,75,1,2,1
c880.003,1,383,1,0.1875,383,69.2890625,2,1,1,0.0,1,2,1,0.1875,2,69.9375,2,1,1,1
c880.004,2,383,1,0.1875,1135,69.4609375,4,1,2,0.0,2,5,1,0.171875,12,69.33984375,4,1,2,1
c880.005,1,383,1,0.171875,383,69.6328125,3,1,1,0.0,1,3,1,0.1875,3,69.80859375,3,1,1,1
c880.008,2,383,1,0.203125,6229,69.33984375,48,1,2,0.0,2,28,1,0.1875,400,71.02734375,48,1,2,1
c880.009,2,383,1,0.203125,5920,70.1875,46,1,2,0.0,2,27,1,0.1875,372,70.671875,46,1,2,1
c880.010,7,383,1,0.609375,465018,76.61328125,1942,2,5,0.0,7,76,1,0.421875,142555,78.06640625,1942,2,5,1
c880.011,5,383,1,0.296875,81317,74.4296875,375,2,4,0.0,5,28,1,0.28125,4930,72.53515625,375,2,4,1
c880.012,3,383,1,0.3125,148492,73.12109375,1248,2,3,0.0,3,54,1,0.28125,14766,74.75390625,1248,2,3,1
c880.013,3,383,1,0.234375,28701,71.9375,138,2,3,0.015625,3,30,1,0.203125,1886,70.29296875,138,2,3,1
c880.014,3,383,1,0.25,12258,71.53125,225,2,3,0.0,3,34,1,0.203125,1190,69.81640625,225,2,3,1
c880.015,2,383,1,0.203125,9147,70.56640625,87,2,2,0.0,2,32,1,0.1875,528,69.234375,87,2,2,1
c880.018,7,383,1,0.46875,245829,73.0390625,736,2,5,0.015625,7,72,1,0.359375,67256,77.4375,736,2,5,1
c880.019,4,383,1,0.3125,101703,73.953125,798,2,4,0.0,4,41,1,0.265625,16129,74.1640625,798,2,4,1
c880.020,10,383,1,82.5625,107143730,89.48046875,189826,3,8,0.015625,10,115,1,37.859375,47647431,91.9453125,189826,3,8,1
c880.021,4,383,1,0.34375,97844,75.234375,828,3,4,0.0,4,36,1,0.328125,10734,74.1328125,828,3,4,1
c880.022,4,383,1,0.234375,22422,71.140625,36,3,4,0.0,4,11,1,0.1875,252,69.41015625,36,3,4,1
c880.023,12,383,1,1032.921875,1149370150,262.4765625,4383891,3,8,0.0,12,152,1,528.265625,576020385,264.65625,4383891,3,8,1
c880.024,5,383,1,0.40625,104875,71.9140625,288,3,5,0.0,5,33,1,0.328125,7951,72.59765625,288,3,5,1
c880.025,8,383,1,2.9375,3080713,76.32421875,9270,3,7,0.0,8,44,1,0.703125,333709,80.734375,9270,3,7,1
c880.028,3,383,1,0.28125,65857,70.5703125,348,3,3,0.0,3,36,1,0.28125,3700,70.63671875,348,3,3,1
c880.029,6,383,1,2.40625,3359102,75.9375,22425,3,6,0.0,6,62,1,0.84375,596945,80.50390625,22425,3,6,1
c880.030,4,383,1,0.46875,407812,73.25390625,1392,4,4,0.0,4,40,1,0.265625,22408,73.20703125,1392,4,4,1
c880.031,5,383,1,0.265625,76410,71.0390625,72,4,5,0.0,5,13,1,0.203125,837,70.30859375,72,4,5,1
c880.032,13,383,1,5996.84375,4849493797,913.8828125,13151673,4,9,0.0,13,155,1,3021.609375,2430297174,910.84375,13151673,4,9,1
c880.033,10,383,1,59.140625,55921665,81.203125,137670,4,8,0.0,10,98,1,25.09375,22683660,84.21875,137670,4,8,1
